"","genbank_accession","organism","uid","loc","species_name","processid","lat","lon"
"135","KT626094","Macquarie perch","984698136","MP_C13|Australia: Dartmouth Reservoir|36.7239 S 147.6588 E|28-Oct-2008|Zeb Tonkin",NA,NA,NA,NA
"136","KT626095","Macquarie perch","984698137","MP_C131|Australia: Dartmouth Reservoir|36.55987 S 147.65947 E|29-Mar-2012|Zeb Tonkin",NA,NA,NA,NA
"137","KT626096","Macquarie perch","984698138","MP_C161|Australia: Dartmouth Reservoir|36.777541 S 147.663165 E|25-Feb-2013|Zeb Tonkin",NA,NA,NA,NA
"138","KT626097","Macquarie perch","984698139","MP_C163|Australia: Dartmouth Reservoir|36.777541 S 147.663165 E|25-Feb-2013|Zeb Tonkin",NA,NA,NA,NA
"139","KT626098","Macquarie perch","984698140","MP_C164|Australia: Dartmouth Reservoir|36.777541 S 147.663165 E|25-Feb-2013|Zeb Tonkin",NA,NA,NA,NA
"140","KT626099","Macquarie perch","984698141","MP_C177|Australia: Dartmouth Reservoir|36.55987 S 147.65947 E|27-Feb-2013|Zeb Tonkin",NA,NA,NA,NA
"141","KT626100","Macquarie perch","984698142","MP_C178|Australia: Dartmouth Reservoir|36.55987 S 147.65947 E|27-Feb-2013|Zeb Tonkin",NA,NA,NA,NA
"142","KT626101","Macquarie perch","984698143","MP_C180|Australia: Dartmouth Reservoir|36.55987 S 147.65947 E|27-Feb-2013|Zeb Tonkin",NA,NA,NA,NA
"143","KT626102","Macquarie perch","984698144","MP_C181|Australia: Dartmouth Reservoir|36.55987 S 147.65947 E|26-Feb-2013|Zeb Tonkin",NA,NA,NA,NA
"144","KT626103","Macquarie perch","984698145","MP_C183|Australia: Dartmouth Reservoir|36.60415 S 147.54091 E|28-Feb-2013|Zeb Tonkin",NA,NA,NA,NA
"145","KT626104","Macquarie perch","984698146","MP_C185|Australia: Dartmouth Reservoir|36.60415 S 147.54091 E|28-Feb-2013|Zeb Tonkin",NA,NA,NA,NA
"146","KT626105","Macquarie perch","984698147","MP_C187|Australia: Dartmouth Reservoir|36.60415 S 147.54091 E|28-Feb-2013|Zeb Tonkin",NA,NA,NA,NA
"147","KT626106","Macquarie perch","984698148","MP_C2|Australia: Dartmouth Reservoir|36.7239 S 147.6588 E|27-Oct-2008|Zeb Tonkin",NA,NA,NA,NA
"148","KT626107","Macquarie perch","984698149","MP_C21|Australia: Dartmouth Reservoir|36.725817 S 147.6579 E|28-Oct-2008|Zeb Tonkin",NA,NA,NA,NA
"149","KT626108","Macquarie perch","984698150","MP_C25|Australia: Dartmouth Reservoir|36.725817 S 147.6579 E|28-Oct-2008|Zeb Tonkin",NA,NA,NA,NA
"150","KT626109","Macquarie perch","984698151","MP_C29|Australia: Dartmouth Reservoir|36.7239 S 147.6588 E|28-Oct-2008|Zeb Tonkin",NA,NA,NA,NA
"151","KT626110","Macquarie perch","984698152","MP_C3|Australia: Dartmouth Reservoir|36.7239 S 147.6588 E|28-Oct-2008|Zeb Tonkin",NA,NA,NA,NA
"152","KT626111","Macquarie perch","984698153","MP_C35|Australia: Dartmouth Reservoir|36.7239 S 147.6588 E|29-Oct-2008|Zeb Tonkin",NA,NA,NA,NA
"153","KT626112","Macquarie perch","984698154","MP_C37|Australia: Dartmouth Reservoir|36.7239 S 147.6588 E|29-Oct-2008|Zeb Tonkin",NA,NA,NA,NA
"154","KT626113","Macquarie perch","984698155","MP_C4|Australia: Dartmouth Reservoir|36.7239 S 147.6588 E|28-Oct-2008|Zeb Tonkin",NA,NA,NA,NA
"155","KT626114","Macquarie perch","984698156","MP_C5|Australia: Dartmouth Reservoir|36.7239 S 147.6588 E|28-Oct-2008|Zeb Tonkin",NA,NA,NA,NA
"156","KT626115","Macquarie perch","984698157","MP_C54|Australia: Dartmouth Reservoir|36.7239 S 147.6588 E|29-Oct-2008|Zeb Tonkin",NA,NA,NA,NA
"157","KT626116","Macquarie perch","984698158","MP_C7|Australia: Dartmouth Reservoir|36.7239 S 147.6588 E|28-Oct-2008|Zeb Tonkin",NA,NA,NA,NA
"158","KT626117","Macquarie perch","984698159","MP_CBR01|Australia: Dartmouth Reservoir|36.7148 S 147.6574 E|08-Nov-2012|Brett Ingram",NA,NA,NA,NA
"159","KT626118","Macquarie perch","984698160","MP_CBR02|Australia: Dartmouth Reservoir|36.7148 S 147.6574 E|08-Nov-2012|Brett Ingram",NA,NA,NA,NA
"160","KT626119","Macquarie perch","984698161","MP_CBR03|Australia: Dartmouth Reservoir|36.7148 S 147.6574 E|08-Nov-2012|Brett Ingram",NA,NA,NA,NA
"161","KT626120","Macquarie perch","984698162","MP_CBR04|Australia: Dartmouth Reservoir|36.7148 S 147.6574 E|08-Nov-2012|Brett Ingram",NA,NA,NA,NA
"162","KT626121","Macquarie perch","984698163","MP_CBR06|Australia: Dartmouth Reservoir|36.7148 S 147.6574 E|08-Nov-2012|Brett Ingram",NA,NA,NA,NA
"163","KT626122","Macquarie perch","984698164","MP_CBR07|Australia: Dartmouth Reservoir|36.7148 S 147.6574 E|08-Nov-2012|Brett Ingram",NA,NA,NA,NA
"164","KT626123","Macquarie perch","984698165","MP_CBR08|Australia: Dartmouth Reservoir|36.7148 S 147.6574 E|08-Nov-2012|Brett Ingram",NA,NA,NA,NA
"165","KT626124","Macquarie perch","984698166","MP_CBR09|Australia: Dartmouth Reservoir|36.7148 S 147.6574 E|08-Nov-2012|Brett Ingram",NA,NA,NA,NA
"166","KT626125","Macquarie perch","984698167","MP_CBR10|Australia: Dartmouth Reservoir|36.7148 S 147.6574 E|08-Nov-2012|Brett Ingram",NA,NA,NA,NA
"167","KT626126","Macquarie perch","984698168","MP_CBR11|Australia: Dartmouth Reservoir|36.7148 S 147.6574 E|08-Nov-2012|Brett Ingram",NA,NA,NA,NA
"168","KT626127","Macquarie perch","984698169","MP_CBR12|Australia: Dartmouth Reservoir|36.7148 S 147.6574 E|08-Nov-2012|Brett Ingram",NA,NA,NA,NA
"169","KT626128","Macquarie perch","984698170","MP_CBR13|Australia: Dartmouth Reservoir|36.7148 S 147.6574 E|08-Nov-2012|Brett Ingram",NA,NA,NA,NA
"170","KT626129","Macquarie perch","984698171","MP_CBR14|Australia: Dartmouth Reservoir|36.7148 S 147.6574 E|08-Nov-2012|Brett Ingram",NA,NA,NA,NA
